x_position,y_position,z_position
-15.06646491,60.15434717,35.42355831
-15.09568816,59.45326302,35.48370754
-15.11096157,58.7718112,35.47921594
-15.14001949,58.12496216,35.530139
-15.16793891,57.47797377,35.57896474
-15.19582646,56.85811071,35.62367552
-15.25475101,56.29468914,35.6411111
-15.35605857,55.81287782,35.58867054
-15.39412084,55.35545299,35.59669792
-15.44206634,55.03305011,35.57441578
-15.43781822,54.7871686,35.56902293
-15.47459832,54.70546336,35.51109777
-15.5231282,54.81303676,35.4208134
-15.56146629,55.07853929,35.27992877
-15.64301893,55.50658928,35.06538615
-15.83668645,56.02295554,34.77892478
-15.99008243,56.69007242,34.41966008
-16.1909532,57.46329486,34.00688438
-16.3467558,58.51154067,33.44486156
-16.5013599,59.6835457,32.8438829
-16.67133301,60.74981275,32.32732305
-16.66884437,61.73020257,31.9445255
-16.74694221,62.59806015,31.73596846
-16.74975451,63.40737685,31.55306711
-16.67569085,64.09490781,31.53109948
-16.6033563,64.6121438,31.65154541
-16.53536211,65.0264624,31.80133255
-16.52189275,65.2597857,31.96664141
-16.43535772,65.41669706,32.20387571
-16.42141512,65.47805717,32.48888496
-16.31205026,65.52679017,32.73512201
-16.27653695,65.52531117,32.96257839
-16.26695293,65.52072215,33.14759844
-16.23486928,65.53566661,33.28975243
-16.25236605,65.55234762,33.40935644
-16.24542989,65.62012945,33.52370863
-16.23853733,65.63481179,33.64368943
-16.18058351,65.6498929,33.80531635
-16.14633444,65.58715967,33.97451082
-16.10968562,65.4465388,34.17224492
-16.12435747,65.24972203,34.31415201
-16.06907818,65.01111357,34.40279004
-16.01575405,64.71373912,34.45757819
-15.98580965,64.33799016,34.51969238
-15.90532563,63.84890406,34.59480564
-15.79429368,63.25254528,34.72097505
-15.69021569,62.64623787,34.76568744
-15.60066007,62.04939992,34.88776727
-15.53894271,61.45028571,34.96716722
-15.47236435,60.82493149,35.06763781
-15.46593604,60.19791016,35.08348099
-15.47048667,59.58013041,35.17745943
-15.39753407,58.92554892,35.27502422
-15.37732426,58.32926003,35.34400415
-15.3254855,57.70361642,35.43481974
-15.38552429,57.11330568,35.45651147
-15.41553915,56.52108621,35.49782352
-15.42630092,55.97899206,35.514027
-15.43289001,55.46521345,35.54746641
-15.49530342,54.98375346,35.55531098
-15.49742277,54.49835832,35.60511355
-15.56384787,54.12589787,35.60419866
-15.58970057,53.88209826,35.57595604
-15.59635181,53.7983067,35.53911938
-15.58487331,53.90175291,35.49240546
-15.60553011,54.06159779,35.4208842
-15.65225525,54.2516765,35.34678103
-15.72959055,54.47076035,35.24930424
-15.80823685,54.74402673,35.14839212
-15.9266406,55.07077948,34.98077317
-16.08375367,55.47742573,34.74446358
